"Quadrat","Site","Year","PlantGenusSpecies","SampleRound","FloralAbundance","FloweringPlantAbundance","KeyQuad"
"C2","PL","2018","Campanula rotundifolia",2,5,4,"PL C2 2018 2"
"C2","PL","2018","Hymenoxys hoopesii",1,5,3,"PL C2 2018 1"
"C2","PL","2021","Erysimum capitatum",2,15,1,"PL C2 2021 2"
"C2","PL","2021","Hymenoxys hoopesii",1,1,1,"PL C2 2021 1"
"C2","PL","2022","Hymenoxys hoopesii",1,18,2,"PL C2 2022 1"
"C2","RP","2021","Glandularia bipinnatifida",2,10,1,"RP C2 2021 2"
"C2","RP","2021","Oxalis alpina",1,1,1,"RP C2 2021 1"
"C2","RP","2022","Stenaria nigricans",1,8,2,"RP C2 2022 1"
"C2","SC","2012","Castilleja miniata",1,14,14,"SC C2 2012 1"
"C2","SC","2012","Eremogone fendleri",1,6,6,"SC C2 2012 1"
"C2","SC","2017","Cymopterus lemmonii",1,50,6,"SC C2 2017 1"
"C2","SC","2017","Cymopterus lemmonii",3,50,2,"SC C2 2017 3"
"C2","SC","2017","Oxytropis lambertii",1,50,3,"SC C2 2017 1"
"C2","SC","2017","Potentilla hippiana",3,5,1,"SC C2 2017 3"
"C2","SC","2018","Campanula rotundifolia",2,5,1,"SC C2 2018 2"
"C2","SC","2018","Oxytropis lambertii",1,5,1,"SC C2 2018 1"
"C2","SC","2018","Potentilla hippiana",1,50,4,"SC C2 2018 1"
"C2","SC","2021","Eremogone fendleri",2,6,1,"SC C2 2021 2"
"C2","SC","2021","Penstemon pseudoparvus",2,6,1,"SC C2 2021 2"
"C2","SC","2021","Potentilla hippiana",2,1,1,"SC C2 2021 2"
"C2","SC","2022","Potentilla hippiana",1,2,6,"SC C2 2022 1"
"C2","SM","2017","Cymopterus lemmonii",1,50,2,"SM C2 2017 1"
"C2","SM","2017","Erigeron flagellaris",1,5,1,"SM C2 2017 1"
"C2","SM","2018","Campanula rotundifolia",1,5,1,"SM C2 2018 1"
"C2","SM","2018","Erigeron flagellaris",1,5,2,"SM C2 2018 1"
"C2","SM","2018","Erigeron tracyi",1,5,1,"SM C2 2018 1"
"C2","SM","2022","Campanula rotundifolia",1,2,4,"SM C2 2022 1"
"C2","SM","2022","Erigeron flagellaris",1,1,1,"SM C2 2022 1"
"C2","SM","2022","Penstemon strictus",1,3,2,"SM C2 2022 1"
"C2","SS","2017","Achillea millefolium",1,50,2,"SS C2 2017 1"
"C2","SS","2017","Hymenoxys hoopesii",1,50,1,"SS C2 2017 1"
"C2","VC","2017","Allium geyeri",1,50,3,"VC C2 2017 1"
"C2","VC","2017","Erigeron formosissimus",1,5,3,"VC C2 2017 1"
"C3","CH","2012","Cerastium nutans",1,12,12,"CH C3 2012 1"
"C3","CH","2017","Erigeron divergens",1,5,5,"CH C3 2017 1"
"C3","CH","2017","Erigeron flagellaris",2,50,2,"CH C3 2017 2"
"C3","CH","2017","Ipomoea plummerae",3,5,5,"CH C3 2017 3"
"C3","CH","2017","Trifolium pinetorum",3,5,1,"CH C3 2017 3"
"C3","CH","2018","Cosmos parviflorus",2,5,1,"CH C3 2018 2"
"C3","CH","2018","Glandularia bipinnatifida",2,5,1,"CH C3 2018 2"
"C3","CH","2018","Ipomoea plummerae",1,5,1,"CH C3 2018 1"
"C3","CH","2018","Stevia serrata",2,50,1,"CH C3 2018 2"
"C3","CH","2021","Cosmos parviflorus",1,2,2,"CH C3 2021 1"
"C3","CH","2021","Stevia serrata",1,350,4,"CH C3 2021 1"
"C3","CH","2021","Trifolium pinetorum",1,22,4,"CH C3 2021 1"
"C3","CH","2022","Cosmos parviflorus",1,3,20,"CH C3 2022 1"
"C3","CH","2022","Glandularia bipinnatifida",1,17,4,"CH C3 2022 1"
"C3","CH","2022","Oenothera elata",1,6,2,"CH C3 2022 1"
"C3","CH","2022","Trifolium pinetorum",1,5,2,"CH C3 2022 1"
"C3","HM","2017","Arenaria lanuginosa",3,5,2,"HM C3 2017 3"
"C3","HM","2017","Campanula rotundifolia",2,5,1,"HM C3 2017 2"
"C3","HM","2017","Cymopterus lemmonii",1,50,12,"HM C3 2017 1"
"C3","HM","2017","Cymopterus lemmonii",2,100,16,"HM C3 2017 2"
"C3","HM","2017","Cymopterus lemmonii",3,50,4,"HM C3 2017 3"
"C3","HM","2017","Vicia americana",3,5,1,"HM C3 2017 3"
"C3","HM","2018","Campanula rotundifolia",1,5,2,"HM C3 2018 1"
"C3","HM","2018","Campanula rotundifolia",2,5,2,"HM C3 2018 2"
"C3","HM","2018","Cymopterus lemmonii",1,50,5,"HM C3 2018 1"
"C3","HM","2018","Cymopterus lemmonii",2,50,1,"HM C3 2018 2"
"C3","HM","2018","Erigeron speciosus",1,5,1,"HM C3 2018 1"
"C3","HM","2018","Erigeron tracyi",1,5,3,"HM C3 2018 1"
"C3","HM","2018","Erigeron tracyi",2,5,4,"HM C3 2018 2"
"C3","HM","2018","Taraxacum officinale",2,5,1,"HM C3 2018 2"
"C3","HM","2021","Achillea millefolium",1,39,2,"HM C3 2021 1"
"C3","HM","2021","Erigeron flagellaris",1,1,1,"HM C3 2021 1"
"C3","HM","2021","Erigeron tracyi",1,1,1,"HM C3 2021 1"
"C3","HM","2021","Lupinus palmeri",2,6,1,"HM C3 2021 2"
"C3","HM","2021","Taraxacum officinale",1,4,4,"HM C3 2021 1"
"C3","HM","2022","Cymopterus lemmonii",1,3,4,"HM C3 2022 1"
"C3","HM","2022","Erigeron spp.",1,5,4,"HM C3 2022 1"
"C3","HM","2022","Erigeron tracyi",1,14,14,"HM C3 2022 1"
"C3","HM","2022","Lupinus palmeri",1,25,2,"HM C3 2022 1"
"C3","HM","2022","Taraxacum officinale",1,1,1,"HM C3 2022 1"
"C3","JC","2012","Penstemon barbatus",1,4,4,"JC C3 2012 1"
"C3","JC","2012","Potentilla hippiana",1,8,8,"JC C3 2012 1"
"C3","JC","2012","Tragopogon pratensis",1,2,2,"JC C3 2012 1"
"C3","JC","2017","Achillea millefolium",2,50,1,"JC C3 2017 2"
"C3","JC","2017","Achillea millefolium",3,50,5,"JC C3 2017 3"
"C3","JC","2017","Campanula rotundifolia",2,5,1,"JC C3 2017 2"
"C3","JC","2017","Campanula rotundifolia",3,5,6,"JC C3 2017 3"
"C3","JC","2017","Erigeron flagellaris",1,5,8,"JC C3 2017 1"
"C3","JC","2017","Erigeron flagellaris",3,5,1,"JC C3 2017 3"
"C3","JC","2017","Potentilla hippiana",2,5,1,"JC C3 2017 2"
"C3","JC","2017","Trifolium pinetorum",1,5,9,"JC C3 2017 1"
"C3","JC","2018","Achillea millefolium",1,50,8,"JC C3 2018 1"
"C3","JC","2018","Achillea millefolium",2,50,11,"JC C3 2018 2"
"C3","JC","2018","Campanula rotundifolia",1,5,3,"JC C3 2018 1"
"C3","JC","2018","Campanula rotundifolia",2,5,1,"JC C3 2018 2"
"C3","JC","2018","Erigeron tracyi",2,5,2,"JC C3 2018 2"
"C3","JC","2021","Campanula rotundifolia",1,12,5,"JC C3 2021 1"
"C3","JC","2021","Erigeron flagellaris",2,2,2,"JC C3 2021 2"
"C3","JC","2021","Potentilla fruticosa",1,36,5,"JC C3 2021 1"
"C3","JC","2021","Potentilla fruticosa",2,8,1,"JC C3 2021 2"
"C3","JC","2021","Potentilla hippiana",2,9,2,"JC C3 2021 2"
"C3","MM","2012","Erigeron formosissimus",1,2,2,"MM C3 2012 1"
"C3","MM","2012","Potentilla hippiana",1,31,31,"MM C3 2012 1"
"C3","MM","2017","Allium cernuum",2,50,2,"MM C3 2017 2"
"C3","MM","2017","Castilleja austromontana",1,5,1,"MM C3 2017 1"
"C3","MM","2017","Castilleja miniata",2,5,1,"MM C3 2017 2"
"C3","MM","2017","Commelina dianthifolia",3,5,1,"MM C3 2017 3"
"C3","MM","2017","Erysimum capitatum",1,50,1,"MM C3 2017 1"
"C3","MM","2017","Hymenopappus newberryi",3,50,1,"MM C3 2017 3"
"C3","MM","2017","Monardella odoratissima",3,50,1,"MM C3 2017 3"
"C3","MM","2017","Vicia pulchella",2,50,2,"MM C3 2017 2"
"C3","MM","2018","Campanula rotundifolia",1,5,2,"MM C3 2018 1"
"C3","MM","2018","Cymopterus lemmonii",1,50,5,"MM C3 2018 1"
"C3","MM","2018","Erigeron speciosus",1,5,1,"MM C3 2018 1"
"C3","MM","2018","Erigeron tracyi",1,5,3,"MM C3 2018 1"
"C3","MM","2018","Heterotheca pumila",1,50,12,"MM C3 2018 1"
"C3","MM","2018","Monardella odoratissima",1,5,1,"MM C3 2018 1"
"C3","MM","2021","Erigeron flagellaris",2,2,1,"MM C3 2021 2"
"C3","MM","2021","Heterotheca pumila",1,56,11,"MM C3 2021 1"
"C3","MM","2021","Heterotheca pumila",2,6,3,"MM C3 2021 2"
"C3","MM","2021","Vicia pulchella",1,25,1,"MM C3 2021 1"
"C3","MM","2021","Vicia pulchella",2,66,2,"MM C3 2021 2"
"C3","PL","2012","Glandularia bipinnatifida",1,78,78,"PL C3 2012 1"
"C3","PL","2017","Dodecatheon pulchellum",1,5,0,"PL C3 2017 1"
"C3","PL","2018","Dodecatheon pulchellum",2,5,1,"PL C3 2018 2"
"C3","PL","2018","Gentianopsis detonsa",2,5,2,"PL C3 2018 2"
"C3","PL","2021","Dodecatheon pulchellum",2,7,4,"PL C3 2021 2"
"C3","PL","2022","Geranium richardsonii",1,1,2,"PL C3 2022 1"
"C3","PL","2022","Prunella vulgaris",1,4,6,"PL C3 2022 1"
"C3","RP","2018","Glandularia bipinnatifida",1,5,1,"RP C3 2018 1"
"C3","RP","2022","Hymenoxys hoopesii",1,6,3,"RP C3 2022 1"
"C3","SC","2012","Eremogone fendleri",1,5,5,"SC C3 2012 1"
"C3","SC","2012","Erigeron formosissimus",1,5,5,"SC C3 2012 1"
"C3","SC","2017","Cymopterus lemmonii",1,50,1,"SC C3 2017 1"
"C3","SC","2017","Cymopterus lemmonii",2,50,2,"SC C3 2017 2"
"C3","SC","2017","Erigeron flagellaris",1,50,2,"SC C3 2017 1"
"C3","SC","2017","Potentilla hippiana",2,10,2,"SC C3 2017 2"
"C3","SC","2017","Potentilla hippiana",3,50,6,"SC C3 2017 3"
"C3","SC","2018","Campanula rotundifolia",1,5,3,"SC C3 2018 1"
"C3","SC","2018","Hymenoxys richardsonii",1,50,4,"SC C3 2018 1"
"C3","SC","2018","Potentilla hippiana",2,5,2,"SC C3 2018 2"
"C3","SC","2021","Erigeron flagellaris",1,2,1,"SC C3 2021 1"
"C3","SC","2021","Potentilla hippiana",2,3,2,"SC C3 2021 2"
"C3","SC","2022","Erigeron tracyi",1,1,3,"SC C3 2022 1"
"C3","SC","2022","Potentilla hippiana",1,3,11,"SC C3 2022 1"
"C3","SM","2017","Cymopterus lemmonii",1,50,1,"SM C3 2017 1"
"C3","SM","2017","Erigeron flagellaris",1,50,9,"SM C3 2017 1"
"C3","SM","2018","Achillea millefolium",1,50,3,"SM C3 2018 1"
"C3","SM","2018","Campanula rotundifolia",1,10,5,"SM C3 2018 1"
"C3","SM","2018","Campanula rotundifolia",2,10,6,"SM C3 2018 2"
"C3","SM","2018","Erigeron tracyi",1,10,7,"SM C3 2018 1"
"C3","SM","2018","Hesperidanthus linearifolius",1,5,1,"SM C3 2018 1"
"C3","SM","2018","Ipomopsis aggregata",1,50,3,"SM C3 2018 1"
"C3","SM","2018","Ipomopsis aggregata",2,50,3,"SM C3 2018 2"
"C3","SM","2018","Linum lewisii",1,5,1,"SM C3 2018 1"
"C3","SM","2018","Mirabilis oblongifolia",1,5,1,"SM C3 2018 1"
"C3","SM","2018","Mirabilis oblongifolia",2,5,1,"SM C3 2018 2"
"C3","SM","2018","Potentilla hippiana",2,5,1,"SM C3 2018 2"
"C3","SM","2018","Viguiera multiflora",1,5,1,"SM C3 2018 1"
"C3","SM","2018","Viguiera multiflora",2,5,2,"SM C3 2018 2"
"C3","SM","2021","Erigeron flagellaris",1,1,1,"SM C3 2021 1"
"C3","SM","2021","Potentilla hippiana",1,12,6,"SM C3 2021 1"
"C3","SS","2017","Achillea millefolium",1,50,1,"SS C3 2017 1"
"C3","SS","2017","Erodium cicutarium",1,5,2,"SS C3 2017 1"
"C3","SS","2017","Verbena hastata",1,5,1,"SS C3 2017 1"
"C3","UK","2017","Trifolium pinetorum",1,50,42,"UK C3 2017 1"
"C3","VC","2017","Allium geyeri",1,50,1,"VC C3 2017 1"
"C3","VC","2017","Erigeron flagellaris",1,5,3,"VC C3 2017 1"
"C3","VC","2017","Erigeron formosissimus",1,5,3,"VC C3 2017 1"
"E1","CH","2012","Arenaria lanuginosa",1,1,1,"CH E1 2012 1"
"E1","CH","2012","Glandularia bipinnatifida",1,13,13,"CH E1 2012 1"
"E1","CH","2017","Ipomoea plummerae",3,5,1,"CH E1 2017 3"
"E1","CH","2018","Cosmos parviflorus",2,50,4,"CH E1 2018 2"
"E1","CH","2018","Glandularia bipinnatifida",1,50,5,"CH E1 2018 1"
"E1","CH","2018","Glandularia bipinnatifida",2,50,4,"CH E1 2018 2"
"E1","CH","2018","Houstonia wrightii",2,50,2,"CH E1 2018 2"
"E1","CH","2021","Cosmos parviflorus",1,70,35,"CH E1 2021 1"
"E1","CH","2022","Trifolium pinetorum",1,1,1,"CH E1 2022 1"
"E1","HM","2017","Erigeron flagellaris",1,5,3,"HM E1 2017 1"
"E1","HM","2017","Erigeron flagellaris",2,10,4,"HM E1 2017 2"
"E1","HM","2017","Erigeron flagellaris",3,50,9,"HM E1 2017 3"
"E1","HM","2017","Potentilla hippiana",2,50,10,"HM E1 2017 2"
"E1","HM","2017","Potentilla hippiana",3,5,3,"HM E1 2017 3"
"E1","HM","2018","Campanula rotundifolia",1,5,5,"HM E1 2018 1"
"E1","HM","2018","Campanula rotundifolia",2,5,1,"HM E1 2018 2"
"E1","HM","2018","Erigeron tracyi",1,5,8,"HM E1 2018 1"
"E1","HM","2018","Erigeron tracyi",2,5,1,"HM E1 2018 2"
"E1","HM","2021","Potentilla hippiana",1,1,1,"HM E1 2021 1"
"E1","HM","2021","Taraxacum officinale",2,1,1,"HM E1 2021 2"
"E1","HM","2022","Erigeron tracyi",1,50,50,"HM E1 2022 1"
"E1","HM","2022","Trifolium repens",1,12,10,"HM E1 2022 1"
"E1","JC","2012","Potentilla hippiana",1,3,3,"JC E1 2012 1"
"E1","JC","2017","Achillea millefolium",2,50,2,"JC E1 2017 2"
"E1","JC","2017","Achillea millefolium",3,50,11,"JC E1 2017 3"
"E1","JC","2017","Campanula rotundifolia",3,50,15,"JC E1 2017 3"
"E1","JC","2017","Erigeron flagellaris",1,5,8,"JC E1 2017 1"
"E1","JC","2017","Linum lewisii",2,5,1,"JC E1 2017 2"
"E1","JC","2017","Vicia pulchella",2,5,2,"JC E1 2017 2"
"E1","JC","2018","Achillea millefolium",1,5,1,"JC E1 2018 1"
